STATUS | wrapper  | 2023/12/21 03:44:21 | --> Wrapper Started as Console
INFO   | jvm 2    | 2023/12/21 03:44:44 | 2023-12-21 03:44:44,540 INFO [WrapperSimpleAppMain] [RemoteAgentBootstrap] Starting Agent Bootstrap using Java 11.0.21 from Eclipse Adoptium. Default charset: UTF-8, file name encoding: UTF-8
INFO   | jvm 2    | 2023/12/21 03:44:44 | 2023-12-21 03:44:44,544 INFO [WrapperSimpleAppMain] [RemoteAgentBootstrap] Agent bootstrap using endpoint: http://bamboo-server:8085/agentServer
INFO   | jvm 2    | 2023/12/21 03:44:44 | 2023-12-21 03:44:44,549 INFO [WrapperSimpleAppMain] [RemoteAgentHomeLocatorForBootstrap] Using agent home located at [/var/atlassian/application-data/bamboo-agent]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 2023-12-21 03:44:44,549 INFO [WrapperSimpleAppMain] [RemoteAgentHomeLocatorForBootstrap] Using agent home located at [/var/atlassian/application-data/bamboo-agent]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 2023-12-21 03:44:44,549 INFO [WrapperSimpleAppMain] [AgentUuidInitializer] Found agent UUID '85bb9ffd-7c93-4271-93e3-effff5aacf91' in temporary UUID file '/var/atlassian/application-data/bamboo-agent/uuid-temp.properties'
INFO   | jvm 2    | 2023/12/21 03:44:44 | 2023-12-21 03:44:44,550 INFO [WrapperSimpleAppMain] [RemoteAgentHomeLocatorForBootstrap] Using agent home located at [/var/atlassian/application-data/bamboo-agent]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 2023-12-21 03:44:44,551 INFO [WrapperSimpleAppMain] [AgentContext] Requesting fingerprint, url: http://bamboo-server:8085/agentServer/GetFingerprint.action?hostName=b46f2a1ada5c&version=4&agentUuid=85bb9ffd-7c93-4271-93e3-effff5aacf91
INFO   | jvm 2    | 2023/12/21 03:44:44 | 2023-12-21 03:44:44,553 INFO [WrapperSimpleAppMain] [RemoteAgentHttpClientFactory] Creating a new HTTP client...
INFO   | jvm 2    | 2023/12/21 03:44:44 | 2023-12-21 03:44:44,730 INFO [WrapperSimpleAppMain] [AgentContext] Authenticating against Bamboo server at http://bamboo-server:8085/agentServer/
INFO   | jvm 2    | 2023/12/21 03:44:44 | 2023-12-21 03:44:44,902 INFO [WrapperSimpleAppMain] [AgentContext] Successfully authenticated with Bamboo server
INFO   | jvm 2    | 2023/12/21 03:44:44 | Exiting due to fatal exception.
INFO   | jvm 2    | 2023/12/21 03:44:44 | java.lang.IllegalArgumentException: URLDecoder: Illegal hex characters in escape (%) pattern - Error at index 0 in: ";""
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.base/java.net.URLDecoder.decode(URLDecoder.java:232)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.base/java.net.URLDecoder.decode(URLDecoder.java:142)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.GetFingerprintResponse.processPair(GetFingerprintResponse.java:45)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.GetFingerprintResponse.<init>(GetFingerprintResponse.java:30)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.AgentContext.initFingerprint(AgentContext.java:133)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.AgentContext.initServerSession(AgentContext.java:114)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.AgentContext.run(AgentContext.java:101)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.RemoteAgentBootstrap.run(RemoteAgentBootstrap.java:118)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.RemoteAgentBootstrap.main(RemoteAgentBootstrap.java:56)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.base/java.lang.reflect.Method.invoke(Method.java:566)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.AgentBootstrap.main(AgentBootstrap.java:21)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.base/java.lang.reflect.Method.invoke(Method.java:566)
